pair,strategy,type,entry_time,entry_price,exit_time,exit_price,size,leverage,confidence,pnl,pnl_amount
SOL/USD,adaptive,sell,56,122.52,65,125.89,652.9546196539341,0,0,-0.5501142670584401,-359.1996520133465
SOL/USD,adaptive,buy,66,124.45,101,130.91,631.283257468434,0,0,1.0381679389312968,655.3780382878393
SOL/USD,adaptive,sell,103,131.61,135,127.99,616.8582443970669,0,0,0.550110173998939,339.3399961579505
SOL/USD,adaptive,buy,136,128.42,160,128.51,642.7509229849694,0,0,0.014016508332036041,9.00912366744268
SOL/USD,adaptive,sell,162,129.22,165,129.96,639.0505341618908,0,0,-0.1145333539699751,-73.19260103386551
SOL/USD,adaptive,buy,166,130.39,167,130.61,631.0709381107761,0,0,0.03374491908889137,21.295437745898912
SOL/USD,adaptive,sell,168,131.18,169,131.06,627.9198153014763,0,0,0.01829547187071269,11.488089317911268
SOL/USD,adaptive,buy,170,131.3,213,139.06,627.6959156779841,0,0,1.1820258948971805,741.9528264525743
SOL/USD,adaptive,sell,215,139.72,223,146.38,611.1099701855826,0,0,-0.9533352419123957,-582.5926712619494
SOL/USD,adaptive,buy,231,143.45,239,144.15,578.9746556241327,0,0,0.09759498082955972,56.50502041643817
SOL/USD,adaptive,sell,240,144.51,242,144.31,576.291844377189,0,0,0.027679745346341243,15.951611497533909
SOL/USD,adaptive,sell,243,144.89,246,141.35,575.2207942365776,0,0,0.4886465594588988,281.0796620329188
SOL/USD,adaptive,sell,247,140.07,272,137.79,603.0417614412036,0,0,0.3255515099593062,196.32115600570353
SOL/USD,adaptive,buy,273,137.87,274,137.51,618.3603695444419,0,0,-0.05222310872561306,-32.29270081032966
SOL/USD,adaptive,sell,275,138.89,276,138.99,612.8891449769666,0,0,-0.014399884800924866,-8.825533083405658
SOL/USD,adaptive,buy,277,139.13,281,137.91,611.5781730289459,0,0,-0.1753755480485875,-107.25585726950526
SOL/USD,adaptive,sell,282,138.36,284,136.76,611.8809466929692,0,0,0.23128071697022584,141.51626405157046
SOL/USD,adaptive,sell,285,134.32,337,126.07,634.499053310345,0,0,1.2284097677188803,779.4248346948103
SOL/USD,adaptive,buy,338,125.96,343,124.6,701.362433942718,0,0,-0.2159415687519847,-151.45330424930077
SOL/USD,adaptive,sell,344,124.78,348,125.85,703.1399179550212,0,0,-0.17150184324410855,-120.5897919877974
SOL/USD,adaptive,sell,349,125.35,350,124.74,696.0944538849332,0,0,0.09732748304746701,67.74912115992164
SOL/USD,adaptive,sell,351,124.96,356,124.56,700.4356296344116,0,0,0.06402048655569646,44.84222981014064
SOL/USD,adaptive,buy,357,125.07,358,126.0,701.2537394927369,0,0,0.14871671863756405,104.288155069681
SOL/USD,adaptive,buy,359,126.18,365,125.89,698.3908528977281,0,0,-0.045966080202885756,-32.10228995725876
SOL/USD,adaptive,buy,366,125.47,371,125.72,701.3194282203418,0,0,0.03985016338566988,27.9476938001252
SOL/USD,adaptive,buy,372,125.27,375,125.45,703.3315193901716,0,0,0.028737926079669008,20.212289213736042
SOL/USD,adaptive,buy,376,124.6,378,124.58,707.7623482412661,0,0,-0.0032102728731935827,-2.272110267226726
SOL/USD,adaptive,sell,379,126.19,382,126.0,698.7724871209513,0,0,0.030113321182343725,21.04236033805835
SOL/USD,adaptive,buy,383,126.55,400,126.69,697.4497794638094,0,0,0.022125642038719962,15.431524160400427
SOL/USD,adaptive,buy,401,126.22,402,125.68,699.7622855948873,0,0,-0.0855648867057506,-59.87508068788363
SOL/USD,adaptive,sell,403,124.8,416,130.23,705.805251322397,0,0,-0.8701923076923066,-614.1863004295851
SOL/USD,adaptive,buy,422,125.3,425,119.89,683.381884783055,0,0,-0.8635275339185948,-590.1190736913528
SOL/USD,adaptive,sell,426,119.51,455,116.07,696.7389663505263,0,0,0.5756840431763053,401.1015051871507
SOL/USD,adaptive,buy,456,118.14,492,118.47,718.39918646775,0,0,0.0558659217877092,40.134032763561244
