datetime,timestamp,open,high,low,close,vwap,volume,count
2025-03-16 22:00:00,1742162400.0,126.49,126.7,125.73,125.77,126.03,19387.38966462,1062.0
2025-03-16 23:00:00,1742166000.0,125.77,126.23,125.22,126.03,125.64,4226.83776489,480.0
2025-03-17 00:00:00,1742169600.0,126.11,127.92,126.0,127.69,126.81,6411.69834055,516.0
2025-03-17 01:00:00,1742173200.0,127.69,128.67,127.17,128.23,128.06,4448.31411247,497.0
2025-03-17 02:00:00,1742176800.0,128.32,128.47,127.5,127.78,128.07,1404.76297742,323.0
2025-03-17 03:00:00,1742180400.0,127.76,129.11,127.76,129.08,128.23,2300.43786947,284.0
2025-03-17 04:00:00,1742184000.0,128.99,129.26,128.68,128.84,129.02,2374.28029255,410.0
2025-03-17 05:00:00,1742187600.0,128.87,128.9,128.01,128.03,128.4,1126.17367476,325.0
2025-03-17 06:00:00,1742191200.0,128.05,128.31,126.61,128.07,127.83,6689.91023527,403.0
2025-03-17 07:00:00,1742194800.0,128.08,129.51,128.08,129.16,128.96,2667.84092374,375.0
2025-03-17 08:00:00,1742198400.0,129.28,129.29,128.5,128.88,128.89,1606.56981877,263.0
2025-03-17 09:00:00,1742202000.0,128.79,129.3,128.67,129.06,129.09,2184.08416953,200.0
2025-03-17 10:00:00,1742205600.0,129.09,129.62,128.76,128.86,129.0,4822.91769346,401.0
2025-03-17 11:00:00,1742209200.0,128.91,129.4,128.5,129.22,129.17,3468.137923,357.0
2025-03-17 12:00:00,1742212800.0,129.2,130.13,127.51,127.59,128.91,19145.67078289,1090.0
2025-03-17 13:00:00,1742216400.0,127.54,128.7,126.9,127.41,127.66,7920.15880904,645.0
2025-03-17 14:00:00,1742220000.0,127.3,127.79,126.24,126.31,127.15,20405.54608382,1093.0
2025-03-17 15:00:00,1742223600.0,126.31,127.82,125.57,127.47,126.55,15504.71910528,726.0
2025-03-17 16:00:00,1742227200.0,127.46,128.11,126.79,127.0,127.67,2618.11789908,375.0
2025-03-17 17:00:00,1742230800.0,127.01,128.69,126.76,128.42,128.04,12236.88096353,633.0
2025-03-17 18:00:00,1742234400.0,128.44,130.41,128.18,129.84,129.29,7551.51020164,694.0
2025-03-17 19:00:00,1742238000.0,129.83,130.54,129.49,129.79,129.87,8144.95099716,512.0
2025-03-17 20:00:00,1742241600.0,129.8,129.93,128.54,128.77,129.54,5777.91522055,659.0
2025-03-17 21:00:00,1742245200.0,128.77,129.34,128.21,129.03,128.85,8269.98077206,402.0
2025-03-17 22:00:00,1742248800.0,129.03,129.26,128.6,128.99,128.89,1028.68163634,232.0
2025-03-17 23:00:00,1742252400.0,129.0,129.0,127.75,128.01,128.21,1852.686123,335.0
2025-03-18 00:00:00,1742256000.0,128.02,128.05,126.09,126.53,126.89,10795.09386609,921.0
2025-03-18 01:00:00,1742259600.0,126.54,126.87,124.68,125.18,125.6,16319.53439038,1191.0
2025-03-18 02:00:00,1742263200.0,125.11,125.83,124.92,125.22,125.35,3086.52582857,439.0
2025-03-18 03:00:00,1742266800.0,125.2,125.2,123.56,124.12,124.22,9492.28657967,758.0
2025-03-18 04:00:00,1742270400.0,124.14,124.88,123.76,124.0,124.55,5608.09976283,426.0
2025-03-18 05:00:00,1742274000.0,124.0,124.62,123.7,124.6,124.1,2990.90157049,305.0
2025-03-18 06:00:00,1742277600.0,124.61,124.62,123.3,124.27,123.89,6146.58913357,455.0
2025-03-18 07:00:00,1742281200.0,124.15,125.26,124.06,125.18,124.62,4630.29679646,317.0
2025-03-18 08:00:00,1742284800.0,125.18,125.76,124.84,125.7,125.42,2742.63795977,396.0
2025-03-18 09:00:00,1742288400.0,125.69,125.93,124.67,124.73,125.37,4221.43788573,441.0
2025-03-18 10:00:00,1742292000.0,124.74,125.0,123.99,124.55,124.32,4786.09584468,366.0
2025-03-18 11:00:00,1742295600.0,124.54,124.64,123.27,123.54,123.82,5805.74233372,740.0
2025-03-18 12:00:00,1742299200.0,123.53,123.87,122.93,123.55,123.61,11031.44279796,590.0
2025-03-18 13:00:00,1742302800.0,123.55,123.65,121.8,122.31,122.43,23711.38980827,1080.0
2025-03-18 14:00:00,1742306400.0,122.28,123.36,121.97,123.12,122.38,17372.63068466,928.0
2025-03-18 15:00:00,1742310000.0,123.07,123.17,122.3,122.52,122.71,4969.04617983,478.0
2025-03-18 16:00:00,1742313600.0,122.52,124.0,122.48,123.27,123.19,11725.18181173,615.0
2025-03-18 17:00:00,1742317200.0,123.28,123.4,122.59,123.28,122.94,8625.64225608,619.0
2025-03-18 18:00:00,1742320800.0,123.37,124.07,123.07,124.07,123.7,9030.2527287,392.0
2025-03-18 19:00:00,1742324400.0,124.07,124.42,123.75,124.15,124.17,5149.25161179,424.0
2025-03-18 20:00:00,1742328000.0,124.21,124.38,123.52,124.04,123.82,1214.74649599,261.0
2025-03-18 21:00:00,1742331600.0,124.0,124.82,123.97,124.52,124.55,9490.14991252,474.0
2025-03-18 22:00:00,1742335200.0,124.52,125.14,124.4,124.97,124.92,5040.33055463,450.0
2025-03-18 23:00:00,1742338800.0,124.98,125.58,124.98,125.38,125.26,4336.13824034,503.0
2025-03-19 00:00:00,1742342400.0,125.32,126.18,125.17,125.89,125.89,5476.26236533,421.0
2025-03-19 01:00:00,1742346000.0,125.86,125.9,124.45,124.45,125.01,2894.41885122,402.0
2025-03-19 02:00:00,1742349600.0,124.51,125.01,124.2,124.67,124.7,3127.24214298,343.0
2025-03-19 03:00:00,1742353200.0,124.71,126.62,124.69,126.46,125.5,2626.45247629,424.0
2025-03-19 04:00:00,1742356800.0,126.46,126.83,125.7,126.09,126.01,1664.12730127,262.0
2025-03-19 05:00:00,1742360400.0,126.11,126.36,125.37,125.88,125.51,3220.44437012,372.0
2025-03-19 06:00:00,1742364000.0,125.87,126.49,125.71,126.11,126.07,1337.90685801,279.0
2025-03-19 07:00:00,1742367600.0,126.16,126.5,125.69,125.69,126.21,1056.01930338,174.0
2025-03-19 08:00:00,1742371200.0,125.72,126.29,125.7,126.23,126.02,998.33091368,149.0
2025-03-19 09:00:00,1742374800.0,126.23,126.64,126.08,126.54,126.36,1300.81219911,249.0
2025-03-19 10:00:00,1742378400.0,126.49,127.56,126.36,126.82,126.95,5489.72846234,555.0
2025-03-19 11:00:00,1742382000.0,126.8,129.48,126.38,128.71,127.69,38311.05641781,1247.0
2025-03-19 12:00:00,1742385600.0,128.71,129.0,126.97,127.61,127.77,9304.41296549,769.0
2025-03-19 13:00:00,1742389200.0,127.61,131.08,127.24,130.52,129.3,29605.77255589,1449.0
2025-03-19 14:00:00,1742392800.0,130.91,132.67,130.91,131.86,131.75,22543.72415963,1408.0
2025-03-19 15:00:00,1742396400.0,131.8,132.4,131.21,132.35,131.87,11523.72523697,818.0
2025-03-19 16:00:00,1742400000.0,132.34,132.42,130.71,131.73,131.2,11587.60383007,847.0
2025-03-19 17:00:00,1742403600.0,131.79,131.82,129.67,130.23,130.51,9149.01250314,840.0
2025-03-19 18:00:00,1742407200.0,130.13,133.37,128.27,132.99,130.5,36982.92693442,2119.0
2025-03-19 19:00:00,1742410800.0,133.37,134.41,131.38,132.97,133.01,35341.04212424,1873.0
2025-03-19 20:00:00,1742414400.0,133.1,134.39,133.01,133.87,133.68,14835.66436007,1080.0
2025-03-19 21:00:00,1742418000.0,133.82,134.5,133.26,133.7,133.96,31097.31514187,926.0
2025-03-19 22:00:00,1742421600.0,133.71,134.77,133.66,134.7,134.43,13704.91709496,702.0
2025-03-19 23:00:00,1742425200.0,134.79,136.0,134.39,135.42,135.07,6125.09817385,938.0
2025-03-20 00:00:00,1742428800.0,135.42,136.0,133.51,133.51,135.01,14338.44247855,1047.0
