timestamp,open,high,low,close,vwap,volume,count
2024-09-29,5.019,5.1279,4.9536,5.0264,5.0466,27824.43174573,444
2024-09-30,5.0286,5.0505,4.6847,4.7229,4.8963,60343.0083596,731
2024-10-01,4.7345,4.9031,4.2435,4.44,4.6679,121222.14846395,1172
2024-10-02,4.4351,4.5847,4.3489,4.4273,4.4835,31227.49668852,620
2024-10-03,4.4339,4.4953,4.2286,4.3784,4.3647,41158.88721255,637
2024-10-04,4.3841,4.6211,4.3613,4.6167,4.4555,60420.89556229,581
2024-10-05,4.6311,4.7099,4.5709,4.6274,4.6409,16323.7978002,299
2024-10-06,4.6303,4.649,4.5561,4.6474,4.5979,37014.74858131,352
2024-10-07,4.6496,4.7903,4.4134,4.4134,4.657,56073.01156652,766
2024-10-08,4.4237,4.4658,4.3123,4.3454,4.3628,45666.29360684,559
2024-10-09,4.3511,4.3862,4.1648,4.2278,4.2705,55198.9900286,589
2024-10-10,4.2405,4.2832,4.0462,4.1288,4.1675,36370.99865876,573
2024-10-11,4.1484,4.2984,4.1082,4.2657,4.2493,19155.81303286,363
2024-10-12,4.2807,4.3808,4.2777,4.349,4.3443,74258.29333701,586
2024-10-13,4.3486,4.3611,4.2257,4.3402,4.307,13179.02365464,318
2024-10-14,4.3481,4.5306,4.2974,4.5094,4.471,87002.05307808,1466
2024-10-15,4.5076,4.5809,4.37,4.4832,4.4998,27250.45791664,549
2024-10-16,4.4859,4.5084,4.3895,4.4361,4.4502,23768.95844631,434
2024-10-17,4.4481,4.4607,4.24,4.2978,4.3481,34945.65625175,452
2024-10-18,4.3056,4.393,4.2852,4.3491,4.3327,71232.61927342,666
2024-10-19,4.3542,4.4862,4.3531,4.4655,4.4415,55109.41095468,562
2024-10-20,4.4733,4.69,4.3981,4.6899,4.569,40566.86269083,756
2024-10-21,4.69,5.1151,4.686,4.8985,4.8871,137092.5606476,2132
2024-10-22,4.9039,4.9565,4.7045,4.7843,4.802,36042.27422851,860
2024-10-23,4.7865,4.8499,4.56,4.618,4.6806,39888.63900945,788
2024-10-24,4.6148,4.85,4.5706,4.847,4.7372,32568.50512153,638
2024-10-25,4.85,4.8553,4.258,4.4053,4.6095,48014.51661978,931
2024-10-26,4.3959,4.5005,4.3017,4.3716,4.392,21835.83928729,431
2024-10-27,4.3655,4.4617,4.3163,4.4455,4.3775,13550.68924851,343
2024-10-28,4.4532,4.5016,4.2685,4.4562,4.3915,23320.59088162,502
2024-10-29,4.4455,4.6008,4.4323,4.5301,4.5113,65351.7204035,721
2024-10-30,4.5229,4.5257,4.3737,4.4521,4.4624,56035.6552515,666
2024-10-31,4.4663,4.4663,4.1846,4.241,4.3003,32068.69938546,671
2024-11-01,4.2325,4.3094,4.1092,4.1646,4.2119,72313.32033187,707
2024-11-02,4.1706,4.2097,4.0531,4.0905,4.1223,25041.80071972,312
2024-11-03,4.1114,4.1153,3.8767,3.9813,3.9791,41227.84915105,770
2024-11-04,3.9775,4.0114,3.8333,3.913,3.9377,24020.92699347,641
2024-11-05,3.9121,4.2146,3.9111,4.2065,4.0624,41638.2013552,706
2024-11-06,4.2147,4.5429,4.2143,4.5141,4.4181,67880.94297688,1010
2024-11-07,4.5154,4.6524,4.4717,4.5298,4.5455,57217.54346149,852
2024-11-08,4.549,4.7174,4.4643,4.714,4.603,65008.24215975,945
2024-11-09,4.7192,4.8463,4.628,4.7844,4.7456,104479.83516968,1196
2024-11-10,4.7967,5.5395,4.7174,5.2764,5.2092,223165.10301184,3404
2024-11-11,5.2701,5.6856,5.1712,5.6637,5.3605,214233.53593038,2356
2024-11-12,5.6644,5.8357,5.12,5.3161,5.4755,226292.13026751,3266
2024-11-13,5.3141,5.362,4.8474,5.1232,5.1152,152203.77720118,2438
2024-11-14,5.1287,5.3061,4.8757,4.95,5.074,86191.58458475,1535
2024-11-15,4.951,5.3069,4.8307,5.259,5.13,153628.5205562,2028
2024-11-16,5.2638,6.2132,5.2463,6.1221,5.9093,572986.25221111,5505
2024-11-17,6.1227,6.6569,5.5874,5.6909,6.1704,358022.92934472,7290
2024-11-18,5.6778,6.6,5.6745,6.4746,6.268,307110.49280798,5892
2024-11-19,6.4576,6.8468,6.15,6.2703,6.3457,512459.29060549,5976
2024-11-20,6.2704,6.6413,6.0875,6.2139,6.3071,135642.97354474,3731
2024-11-21,6.1918,6.5017,6.0102,6.4276,6.306,181119.19294621,3541
2024-11-22,6.4255,7.6308,6.3405,7.5527,7.134,312715.49742042,5869
2024-11-23,7.5533,8.8978,7.4577,8.232,8.0961,613018.17361351,11286
2024-11-24,8.2038,9.5763,8.075,8.7684,8.801,518209.24809832,11464
2024-11-25,8.7473,8.8395,7.7706,7.9234,8.3041,275382.11325123,4661
2024-11-26,7.9314,8.1439,7.5,8.0138,7.895,228676.48117196,3283
2024-11-27,7.9922,8.3872,7.8,8.3276,8.184,103322.00674647,2291
2024-11-28,8.3399,8.4,7.8942,8.2421,8.1532,162782.7279488,2050
2024-11-29,8.2148,8.8,8.0573,8.7573,8.4554,118461.03964871,2218
2024-11-30,8.7592,8.8499,8.4045,8.5749,8.6408,122516.99377329,2197
2024-12-01,8.5711,9.0444,8.3155,8.9223,8.7287,222034.82796631,2602
2024-12-02,8.9077,9.5708,8.34,9.5708,9.0383,335910.7006363,7445
2024-12-03,9.5708,10.0212,8.8964,9.5816,9.553,359854.95991564,7824
2024-12-04,9.5876,10.6722,9.4571,9.9465,10.1006,343908.68859209,6556
2024-12-05,9.9265,10.0763,9.3488,9.5883,9.7849,333244.33657812,6106
2024-12-06,9.5733,10.5925,9.5075,10.4202,10.0001,175003.55451781,3952
2024-12-07,10.4062,10.5689,10.0234,10.1817,10.2922,102823.1793029,1743
2024-12-08,10.1799,10.4321,9.8479,10.1248,10.1022,86613.68570919,1903
2024-12-09,10.1282,10.1347,7.5,8.4021,8.8433,245875.27814816,5402
