timestamp,open,high,low,close,vwap,volume,count
2024-09-29,29.32,29.44,28.28,29.1,28.92,30453.02399332,2060
2024-09-30,29.04,29.12,27.59,27.74,28.27,36845.10366361,2719
2024-10-01,27.74,28.89,25.01,25.82,26.89,105107.23711396,5083
2024-10-02,25.76,26.75,25.06,25.41,25.74,72767.132276,3103
2024-10-03,25.34,25.64,23.91,24.66,24.85,64299.82459261,2874
2024-10-04,24.57,26.51,24.44,26.27,25.78,46071.2067737,2666
2024-10-05,26.28,26.42,25.11,25.71,25.9,33628.52159815,1536
2024-10-06,25.66,27.07,25.47,26.94,26.47,42947.40463662,2146
2024-10-07,26.93,27.7,26.53,26.54,27.21,65422.69347091,3138
2024-10-08,26.58,27.19,26.06,26.33,26.55,30565.12245373,2147
2024-10-09,26.32,26.65,25.69,25.77,25.99,42865.99631416,1956
2024-10-10,25.77,26.31,25.06,25.88,25.62,29452.23967159,1643
2024-10-11,25.83,27.56,25.75,27.44,27.01,80638.11746701,2231
2024-10-12,27.5,29.34,27.42,28.62,28.61,77859.03810949,3777
2024-10-13,28.62,29.31,28.29,29.05,28.85,70544.94284478,2972
2024-10-14,29.01,29.82,28.66,29.07,29.35,94622.51228603,5250
2024-10-15,29.07,29.59,27.55,28.2,28.52,80052.70206098,5225
2024-10-16,28.19,28.2,27.28,28.03,27.8,37832.82126251,2680
2024-10-17,28.03,28.23,26.84,27.27,27.43,23905.1748447,1883
2024-10-18,27.27,28.14,27.1,28.09,27.81,34369.25538338,1850
2024-10-19,28.1,28.44,27.75,28.11,28.05,10364.70568163,971
2024-10-20,28.12,29.0,27.79,28.96,28.32,24637.81285231,1634
2024-10-21,28.98,29.29,27.38,27.73,27.99,76851.36163318,3320
2024-10-22,27.73,28.19,27.25,27.62,27.73,56023.44440244,2443
2024-10-23,27.64,27.64,25.88,26.74,26.7,51743.153408,2495
2024-10-24,26.6,27.21,26.39,26.83,26.84,31842.99782512,1853
2024-10-25,26.8,26.8,24.01,24.93,25.81,168233.35081626,4582
2024-10-26,24.9,25.62,24.55,25.36,25.28,44593.99721557,1611
2024-10-27,25.37,25.88,25.17,25.71,25.49,43030.17033292,1299
2024-10-28,25.72,26.5,25.05,26.29,25.89,77800.75589069,2994
2024-10-29,26.25,27.14,26.18,26.84,26.74,55671.99326035,3001
2024-10-30,26.85,26.86,25.98,26.18,26.4,41394.54643617,2849
2024-10-31,26.18,26.21,24.65,25.02,25.39,59204.57648846,2195
2024-11-01,25.0,25.67,24.41,24.78,24.89,37213.93207978,2021
2024-11-02,24.82,24.99,23.96,24.09,24.35,26967.86490489,1207
2024-11-03,24.15,24.18,22.61,23.52,23.37,70427.72964144,2524
2024-11-04,23.51,23.89,22.35,22.71,23.08,39457.46771678,1934
2024-11-05,22.71,24.47,22.61,24.0,23.65,38890.84093889,1886
2024-11-06,24.0,27.32,24.0,27.03,26.12,138537.10785244,6327
2024-11-07,27.04,28.0,26.58,27.39,27.43,98011.19938615,4723
2024-11-08,27.43,28.77,27.15,28.77,28.09,72722.04301288,4171
2024-11-09,28.78,30.47,28.54,30.41,29.29,97787.10612565,5057
2024-11-10,30.4,33.32,29.73,31.93,31.7,220020.21238596,12045
2024-11-11,31.93,35.82,30.75,35.77,33.24,241067.64941058,12230
2024-11-12,35.75,37.69,32.72,33.98,35.08,279711.61092773,19278
2024-11-13,34.0,35.09,31.25,33.09,33.37,237901.71544605,11892
2024-11-14,33.1,34.69,30.72,31.22,32.49,104673.70384921,6685
2024-11-15,31.19,33.31,30.63,33.14,32.17,92070.49776156,5332
2024-11-16,33.14,35.71,32.84,35.15,34.79,129939.38774206,7539
2024-11-17,35.19,37.24,33.14,34.72,35.93,159089.7124759,9568
2024-11-18,34.73,36.16,34.1,35.48,35.42,198449.07729354,8581
2024-11-19,35.48,35.62,33.57,34.21,34.54,110820.35161883,6268
2024-11-20,34.24,35.76,32.8,33.61,34.1,243425.97685069,8046
2024-11-21,33.62,36.22,32.38,35.81,35.05,237872.09185441,9041
2024-11-22,35.85,43.56,35.23,43.2,39.01,444992.56636951,19168
2024-11-23,43.26,45.32,40.73,41.49,43.07,363309.3064815,18247
2024-11-24,41.43,43.16,38.33,42.1,40.91,211349.72205161,13511
2024-11-25,42.12,47.99,40.11,41.31,43.76,284840.01607906,20555
2024-11-26,41.27,43.3,38.5,42.67,41.33,219045.93045807,15877
2024-11-27,42.75,44.42,41.96,43.83,43.34,181651.78940383,10623
2024-11-28,43.83,44.24,41.55,42.8,42.72,108642.49042543,6289
2024-11-29,42.8,45.0,42.58,44.86,44.11,126304.81190773,7336
2024-11-30,44.86,46.23,43.71,44.85,45.31,80573.57210478,5442
2024-12-01,44.84,45.77,43.69,45.13,44.48,135698.45363388,7222
2024-12-02,45.11,52.52,45.03,52.33,48.71,399865.72441843,28159
2024-12-03,52.3,53.9,47.88,50.93,51.09,309177.89448634,21987
2024-12-04,50.96,55.79,50.92,52.88,53.9,296606.75691484,21424
2024-12-05,52.85,53.61,49.16,50.39,51.71,215920.77169351,14974
2024-12-06,50.37,53.55,49.6,52.63,51.54,112122.19654494,9701
2024-12-07,52.51,53.07,51.2,51.65,52.18,60039.30877516,5793
2024-12-08,51.65,54.4,50.42,54.1,52.58,129861.54116461,8931
2024-12-09,54.02,54.22,40.7,45.22,47.24,416113.07460667,22833
2024-12-10,45.01,46.45,41.34,44.63,43.75,208640.07676706,15158
2024-12-11,44.63,48.46,42.9,48.46,46.26,129266.66401608,8547
2024-12-12,48.47,55.37,48.24,53.14,52.07,327195.21939487,19770
2024-12-13,53.16,53.97,50.91,52.76,51.99,131078.6662061,8894
2024-12-14,52.77,53.8,49.4,49.83,51.22,149582.90985946,7995
2024-12-15,49.77,51.36,48.12,50.73,49.59,124233.73481647,8301
2024-12-16,50.74,51.96,48.35,48.97,49.68,197816.28030639,10347
2024-12-17,48.98,50.79,47.59,47.89,49.25,136792.67203466,8271
2024-12-18,47.9,48.19,42.66,42.82,45.11,208727.18070206,13865
2024-12-19,42.76,43.53,37.41,38.79,40.83,246541.39974542,16922
2024-12-20,38.81,40.33,33.56,39.84,37.08,185421.30233612,15513
2024-12-21,39.81,42.32,36.94,37.38,39.62,132580.57205851,7719
2024-12-22,37.29,38.48,35.53,36.51,37.2,60697.64051255,3935
2024-12-23,36.52,39.66,35.56,39.04,37.56,128674.07643826,6119
2024-12-24,39.05,41.99,37.69,41.19,40.43,84490.53964119,5177
2024-12-25,41.21,41.8,39.81,40.22,40.56,38039.01015521,2293
2024-12-26,40.27,40.69,36.93,37.28,38.79,116004.10409646,5207
2024-12-27,37.29,38.97,36.28,36.5,37.32,36584.39581638,3800
2024-12-28,36.57,38.08,36.27,37.68,37.21,34757.49839976,1850
2024-12-29,37.67,37.68,35.49,35.77,36.44,27316.77293439,2062
2024-12-30,35.75,37.11,34.82,35.92,36.09,67363.16664892,3884
2024-12-31,35.91,37.21,34.94,35.55,35.94,40518.41085742,2535
2025-01-01,35.66,37.92,34.86,37.66,36.71,82603.60545887,3152
2025-01-02,37.81,40.55,37.78,39.24,39.14,147011.63962026,5519
2025-01-03,39.25,42.14,38.91,41.89,41.28,233438.7865383,7385
2025-01-04,41.91,42.88,40.89,42.65,42.04,124910.48239919,4693
2025-01-05,42.66,43.16,41.22,43.09,42.26,88227.52563162,4970
2025-01-06,43.11,45.2,42.07,44.08,43.71,188940.58187535,8583
2025-01-07,44.07,44.57,39.17,39.17,41.8,147288.51500861,7279
2025-01-08,39.17,39.88,36.17,37.41,37.8,110546.14887239,7271
2025-01-09,37.41,37.88,35.52,36.18,36.52,51529.58893782,5616
2025-01-10,36.21,37.88,35.95,36.69,36.96,55082.43786717,4874
2025-01-11,36.71,37.73,36.04,37.11,36.74,31489.92242062,2828
2025-01-12,37.11,37.58,36.09,36.56,36.78,12601.33293233,1977
2025-01-13,36.53,37.3,32.73,35.3,34.46,111640.53279047,8278
2025-01-14,35.3,36.69,35.01,36.52,35.88,32212.84997748,3244
2025-01-15,36.53,40.0,36.19,39.85,38.12,128063.28757772,6036
2025-01-16,39.94,40.5,38.35,40.04,39.58,98943.77561505,4902
2025-01-17,40.08,41.81,40.08,41.37,41.13,107706.51186827,4873
2025-01-18,41.37,41.67,38.29,39.22,39.29,99488.70806424,4826
2025-01-19,39.18,40.5,35.0,35.64,37.22,247862.70181069,10964
2025-01-20,35.62,40.05,34.5,35.96,36.73,229836.16447603,12470
2025-01-21,35.93,37.57,34.46,36.98,36.4,225181.29820267,7485
2025-01-22,36.95,37.75,36.54,36.77,36.85,57711.54361926,3460
2025-01-23,36.77,36.93,34.67,35.56,35.57,73487.71681404,4646
2025-01-24,35.58,36.78,34.57,35.34,35.71,97905.78969394,4688
2025-01-25,35.25,37.24,34.94,36.59,35.7,73430.16239775,2560
2025-01-26,36.61,38.16,35.65,35.72,37.15,101467.29445173,3668
2025-01-27,35.73,36.0,32.86,34.21,34.0,150581.70761375,7716
2025-01-28,34.21,34.5,31.83,32.06,33.5,72621.36680951,3358
2025-01-29,32.08,33.83,31.9,32.79,32.96,62629.36964456,3089
2025-01-30,32.83,34.66,32.47,34.29,34.16,55250.26286366,2307
2025-01-31,34.33,36.16,33.83,34.42,34.97,51064.10786388,3230
2025-02-01,34.42,35.08,32.01,32.1,33.58,40080.2904706,2807
2025-02-02,32.1,32.55,25.93,27.6,29.13,150420.19241661,7315
2025-02-03,27.61,28.79,21.3,28.44,25.57,334586.1239904,11832
2025-02-04,28.44,28.67,25.58,26.51,26.84,207611.70435761,6764
2025-02-05,26.42,27.39,25.64,25.85,26.49,30975.47485637,2426
2025-02-06,25.9,26.81,24.31,24.49,25.34,33617.14576783,2679
2025-02-07,24.51,26.21,23.73,24.45,24.73,47896.33454378,2849
2025-02-08,24.45,24.81,23.94,24.59,24.5,22181.12831773,1364
2025-02-09,24.59,25.5,23.66,24.9,24.58,41526.91028055,2357
2025-02-10,24.89,25.99,23.9,25.65,25.47,86038.21289296,3164
2025-02-11,25.65,26.99,24.91,25.39,26.15,55321.61542525,3311
2025-02-12,25.37,27.1,24.29,26.49,24.83,125849.24252568,3718
2025-02-13,26.5,26.62,25.13,25.41,25.6,31431.98672875,2106
