timestamp,open,high,low,close,vwap,volume,count
2023-04-26,5.9983,6.2169,5.5987,5.8519,5.974,420568.70713859,5456
2023-04-27,5.8475,6.0468,5.8353,5.9693,5.937,338989.0761958,3995
2023-04-28,5.9705,5.9793,5.7829,5.9499,5.901,318820.99740264,3388
2023-04-29,5.9499,6.0578,5.9228,6.0437,5.9854,219342.69123137,2825
2023-04-30,6.0434,6.0881,5.85,5.8753,6.009,201256.57878227,2758
2023-05-01,5.8797,5.9067,5.5954,5.665,5.6982,350418.47114337,3904
2023-05-02,5.657,5.7621,5.625,5.7148,5.6861,171191.20419285,2699
2023-05-03,5.7136,5.8094,5.5617,5.7776,5.6534,172422.74756525,3100
2023-05-04,5.7786,5.7995,5.6221,5.6737,5.721,121767.8957594,2584
2023-05-05,5.6722,5.9006,5.6701,5.8482,5.797,329021.43775029,2731
2023-05-06,5.8552,5.898,5.5921,5.6504,5.7403,168013.36559109,2117
2023-05-07,5.6457,5.7052,5.6143,5.6349,5.6569,90313.56631878,1539
2023-05-08,5.6349,5.653,5.1786,5.3728,5.3953,367691.32892572,4554
2023-05-09,5.3688,5.4158,5.2953,5.3273,5.3357,158433.93311627,3248
2023-05-10,5.3293,5.5166,5.2239,5.4648,5.4091,367536.46274728,5349
2023-05-11,5.4701,5.4701,5.1847,5.2777,5.306,336508.60773345,4576
2023-05-12,5.2789,5.3503,5.1201,5.3432,5.2341,502642.09855361,5878
2023-05-13,5.3468,5.3996,5.3164,5.3473,5.3485,242543.65583338,2752
2023-05-14,5.3509,5.4449,5.3124,5.3483,5.3948,135551.37229417,2517
2023-05-15,5.3511,5.4319,5.2755,5.3124,5.3792,180070.80419008,3179
2023-05-16,5.3187,5.3365,5.2339,5.2968,5.2799,109426.90051068,2752
2023-05-17,5.3043,5.4342,5.2211,5.419,5.3263,231883.12114966,3271
2023-05-18,5.4232,5.4658,5.25,5.337,5.363,214315.63968017,3260
2023-05-19,5.3354,5.3957,5.3135,5.3724,5.356,232995.44566754,2848
2023-05-20,5.367,5.4447,5.331,5.4105,5.4096,120363.61745134,2216
2023-05-21,5.4095,5.4329,5.254,5.2737,5.3303,96551.55638904,2279
2023-05-22,5.2757,5.3394,5.2296,5.3111,5.2889,267784.24391509,4250
2023-05-23,5.3146,5.4479,5.2906,5.3992,5.3813,159081.78466413,2681
2023-05-24,5.3995,5.4003,5.2,5.254,5.2753,220805.38954663,3370
2023-05-25,5.254,5.2979,5.1534,5.2438,5.2367,307040.65035615,4801
2023-05-26,5.2433,5.2717,5.191,5.2469,5.2391,276267.60756453,3300
2023-05-27,5.2469,5.3761,5.2345,5.3377,5.2971,75138.6903839,2355
2023-05-28,5.3393,5.5609,5.3189,5.5013,5.4223,220251.29424929,2955
2023-05-29,5.5014,5.5393,5.4095,5.4587,5.4745,247415.98174675,3285
2023-05-30,5.4589,5.53,5.4121,5.4428,5.473,150336.40615496,3214
