timestamp,open_1d,high_1d,low_1d,close_1d,volume_1d,open_4h,high_4h,low_4h,close_4h,volume_4h,open_1h,high_1h,low_1h,close_1h,volume_1h
2024-04-15 00:00:00,6.8605,7.2111,6.4438,6.7049,520947.87238414,,,,,,,,,,
2024-04-16 00:00:00,6.6971,6.8198,6.3666,6.7005,467032.81609134,,,,,,,,,,
2024-04-17 00:00:00,6.7028,6.7727,6.327,6.5788,268056.21349095,,,,,,,,,,
2024-04-18 00:00:00,6.5783,6.8269,6.4517,6.7851,234030.27259208,,,,,,,,,,
2024-04-19 00:00:00,6.7713,6.9152,6.272,6.682,295581.69103155,,,,,,,,,,
2024-04-20 00:00:00,6.6803,7.2776,6.6174,7.2444,215040.5539691,,,,,,,,,,
2024-04-21 00:00:00,7.2444,7.2869,6.9696,7.1382,155127.49435038,,,,,,,,,,
2024-04-22 00:00:00,7.1407,7.5862,7.098,7.4769,238315.29750259,,,,,,,,,,
2024-04-23 00:00:00,7.4764,7.5429,7.2048,7.242,950877.98021388,,,,,,,,,,
2024-04-24 00:00:00,7.2417,7.4925,6.8565,6.9225,490258.71647953,,,,,,,,,,
2024-04-25 00:00:00,6.9241,6.993,6.7003,6.8615,283727.8919288,,,,,,,,,,
2024-04-26 00:00:00,6.8583,6.9462,6.7168,6.7564,314746.55876731,,,,,,,,,,
2024-04-27 00:00:00,6.7565,6.85,6.502,6.7996,170117.05838064,,,,,,,,,,
2024-04-28 00:00:00,6.8028,6.942,6.6865,6.7242,94388.43458564,,,,,,,,,,
2024-04-29 00:00:00,6.7233,6.8175,6.468,6.5806,627187.34908694,,,,,,,,,,
2024-04-30 00:00:00,6.5734,6.6577,6.0394,6.4173,442978.56120961,,,,,,,,,,
2024-05-01 00:00:00,6.4179,6.9206,6.1206,6.887,912510.04460986,,,,,,,,,,
2024-05-02 00:00:00,6.8891,7.4037,6.6958,7.2791,542332.62678561,,,,,,,,,,
2024-05-03 00:00:00,7.2791,7.3848,7.0101,7.2447,415614.38505008,,,,,,,,,,
2024-05-04 00:00:00,7.2449,7.2557,7.1089,7.1239,289881.38105659,,,,,,,,,,
2024-05-05 00:00:00,7.1231,7.4,7.0227,7.3034,257756.32982943,,,,,,,,,,
2024-05-06 00:00:00,7.303,7.4682,7.07,7.12,380449.05383239,,,,,,,,,,
2024-05-07 00:00:00,7.1223,7.2883,6.9881,6.9947,332352.10661818,,,,,,,,,,
2024-05-08 00:00:00,6.9981,7.1768,6.8918,6.9838,214463.75084451,,,,,,,,,,
2024-05-09 00:00:00,6.9791,7.084,6.7906,7.0468,166120.28293677,,,,,,,,,,
2024-05-10 00:00:00,7.0477,7.1424,6.7,6.7471,206164.30224203,,,,,,,,,,
2024-05-11 00:00:00,6.747,6.8032,6.6406,6.6576,154661.58719843,,,,,,,,,,
2024-05-12 00:00:00,6.6499,6.7832,6.5927,6.613,110438.09987986,,,,,,,,,,
2024-05-13 00:00:00,6.6196,6.8196,6.4366,6.6605,234284.97166643,,,,,,,,,,
2024-05-14 00:00:00,6.6684,6.6926,6.4706,6.477,159216.99661465,,,,,,,,,,
2024-05-15 00:00:00,6.477,7.0271,6.4652,6.9632,370130.20750681,,,,,,,,,,
2024-05-16 00:00:00,6.9633,7.0635,6.8225,7.0289,221404.52619139,,,,,,,,,,
2024-05-17 00:00:00,7.0288,7.296,7.0039,7.1989,460328.1879976,,,,,,,,,,
2024-05-18 00:00:00,7.2002,7.2263,7.0718,7.1563,105130.19982305,,,,,,,,,,
2024-05-19 00:00:00,7.1604,7.1752,6.8974,6.9312,113273.14719879,,,,,,,,,,
2024-05-20 00:00:00,6.9309,7.5753,6.859,7.5748,570057.09539039,,,,,,,,,,
2024-05-21 00:00:00,7.5753,7.6608,7.433,7.615,454829.82140861,,,,,,,,,,
2024-05-22 00:00:00,7.6158,7.6947,7.3861,7.4552,347295.11842515,,,,,,,,,,
2024-05-23 00:00:00,7.4556,7.5957,6.9,7.1966,597542.19231935,,,,,,,,,,
2024-05-24 00:00:00,7.1918,7.3748,7.0251,7.246,218127.40829292,,,,,,,,,,
2024-05-25 00:00:00,7.236,7.4301,7.2283,7.4221,136204.83802687,,,,,,,,,,
2024-05-26 00:00:00,7.4159,7.639,7.3722,7.5534,281576.40594228,,,,,,,,,,
2024-05-27 00:00:00,7.554,7.7654,7.3789,7.6332,241995.22690641,,,,,,,,,,
2024-05-28 00:00:00,7.6332,7.6574,7.2749,7.366,240861.53674232,,,,,,,,,,
2024-05-29 00:00:00,7.369,7.5477,7.1355,7.1722,464906.9373568,,,,,,,,,,
2024-05-30 00:00:00,7.1709,7.227,6.9236,6.9992,259774.6179281,,,,,,,,,,
2024-05-31 00:00:00,6.9875,7.0422,6.8,6.9816,163132.23720769,,,,,,,,,,
2024-06-01 00:00:00,6.983,7.1188,6.9525,7.0567,106880.29667449,,,,,,,,,,
2024-06-02 00:00:00,7.0566,7.117,6.9143,6.9848,84917.01580117,,,,,,,,,,
2024-06-03 00:00:00,6.985,7.1846,6.9334,7.0054,185857.26450884,,,,,,,,,,
