timestamp,pair,position,leverage,confidence,pnl,is_win,cumulative_pnl,equity,peak,drawdown,return
2025-01-07 16:39:26,AVAX/USD,long,57.4,0.9253,329.19,True,329.19,10329.19,10329.19,0.0,0.032919
2025-01-08 16:39:26,AVAX/USD,long,36.6,0.6051,434.44,True,763.63,10763.63,10763.63,0.0,0.043443999999999997
2025-01-09 16:39:26,AVAX/USD,long,58.2,0.9124,362.25,True,1125.88,11125.880000000001,11125.880000000001,0.0,0.036225
2025-01-10 16:39:26,AVAX/USD,short,42.0,0.661,489.65,True,1615.54,11615.54,11615.54,0.0,0.048964999999999995
2025-01-11 16:39:26,AVAX/USD,long,58.2,0.9386,283.28,True,1898.81,11898.81,11898.81,0.0,0.028327999999999996
2025-01-12 16:39:26,AVAX/USD,long,47.4,0.7548,443.63,True,2342.44,12342.44,12342.44,0.0,0.044363
2025-01-13 16:39:26,AVAX/USD,short,53.9,0.7435,290.71,True,2633.16,12633.16,12633.16,0.0,0.029071
2025-01-14 16:39:26,AVAX/USD,long,52.1,0.6965,381.04,True,3014.19,13014.19,13014.19,0.0,0.038104
2025-01-15 16:39:26,AVAX/USD,short,40.4,0.7028,330.97,True,3345.16,13345.16,13345.16,0.0,0.033097
2025-01-16 16:39:26,AVAX/USD,short,54.0,0.933,484.78,True,3829.94,13829.94,13829.94,0.0,0.048478
2025-01-17 16:39:26,AVAX/USD,short,42.3,0.7506,580.34,True,4410.28,14410.279999999999,14410.279999999999,0.0,0.058034
2025-01-18 16:39:26,AVAX/USD,long,43.1,0.7478,526.92,True,4937.21,14937.21,14937.21,0.0,0.052691999999999996
2025-01-19 16:39:26,AVAX/USD,short,51.3,0.7541,452.69,True,5389.89,15389.89,15389.89,0.0,0.045269
2025-01-20 16:39:26,AVAX/USD,long,52.4,0.8442,570.74,True,5960.63,15960.630000000001,15960.630000000001,0.0,0.057074
2025-01-21 16:39:26,AVAX/USD,short,55.5,0.9105,417.07,True,6377.7,16377.7,16377.7,0.0,0.041707
2025-01-22 16:39:26,AVAX/USD,long,42.6,0.7067,489.14,True,6866.84,16866.84,16866.84,0.0,0.048914
2025-01-23 16:39:26,AVAX/USD,long,52.7,0.7238,407.84,True,7274.69,17274.69,17274.69,0.0,0.040784
2025-01-24 16:39:26,AVAX/USD,long,55.4,0.8221,296.98,True,7571.67,17571.67,17571.67,0.0,0.029698000000000002
2025-01-25 16:39:26,AVAX/USD,long,42.2,0.7509,421.48,True,7993.16,17993.16,17993.16,0.0,0.042148000000000005
2025-01-26 16:39:26,AVAX/USD,short,57.7,0.9458,294.12,True,8287.28,18287.28,18287.28,0.0,0.029412
2025-01-27 16:39:26,AVAX/USD,long,41.8,0.6841,-354.53,False,7932.74,17932.739999999998,18287.28,-0.019387246217042714,-0.035453
2025-01-28 16:39:26,AVAX/USD,long,41.1,0.6819,365.35,True,8298.09,18298.09,18298.09,0.0,0.036535000000000005
2025-01-29 16:39:26,AVAX/USD,long,44.7,0.6021,286.61,True,8584.7,18584.7,18584.7,0.0,0.028661000000000002
2025-01-30 16:39:26,AVAX/USD,short,49.7,0.8437,528.79,True,9113.49,19113.489999999998,19113.489999999998,0.0,0.052878999999999995
2025-01-31 16:39:26,AVAX/USD,short,37.0,0.6229,307.07,True,9420.56,19420.559999999998,19420.559999999998,0.0,0.030706999999999998
2025-02-01 16:39:26,AVAX/USD,long,54.7,0.7811,322.44,True,9743.0,19743.0,19743.0,0.0,0.032244
2025-02-02 16:39:26,AVAX/USD,long,60.5,0.9207,306.88,True,10049.88,20049.879999999997,20049.879999999997,0.0,0.030688
2025-02-03 16:39:26,AVAX/USD,long,43.3,0.6824,-201.41,False,9848.47,19848.47,20049.879999999997,-0.01004544665603965,-0.020141
2025-02-04 16:39:26,AVAX/USD,long,43.9,0.6003,455.09,True,10303.56,20303.559999999998,20303.559999999998,0.0,0.045509
2025-02-05 16:39:26,AVAX/USD,long,49.9,0.8176,542.25,True,10845.81,20845.809999999998,20845.809999999998,0.0,0.054225
2025-02-06 16:39:26,AVAX/USD,short,49.0,0.6759,555.37,True,11401.17,21401.17,21401.17,0.0,0.055537
2025-02-07 16:39:26,AVAX/USD,long,50.2,0.8042,573.77,True,11974.95,21974.95,21974.95,0.0,0.057377
2025-02-08 16:39:26,AVAX/USD,long,52.3,0.759,575.59,True,12550.54,22550.54,22550.54,0.0,0.057559000000000006
2025-02-09 16:39:26,AVAX/USD,short,43.2,0.7338,387.39,True,12937.94,22937.940000000002,22937.940000000002,0.0,0.038738999999999996
2025-02-10 16:39:26,AVAX/USD,long,64.0,0.849,568.55,True,13506.48,23506.48,23506.48,0.0,0.056854999999999996
2025-02-11 16:39:26,AVAX/USD,long,49.4,0.758,461.18,True,13967.67,23967.67,23967.67,0.0,0.046118
2025-02-12 16:39:26,AVAX/USD,long,48.7,0.7708,493.75,True,14461.42,24461.42,24461.42,0.0,0.049375
2025-02-13 16:39:26,AVAX/USD,short,38.8,0.6787,297.79,True,14759.21,24759.21,24759.21,0.0,0.029779000000000003
2025-02-14 16:39:26,AVAX/USD,long,57.4,0.7634,418.8,True,15178.01,25178.010000000002,25178.010000000002,0.0,0.04188
2025-02-15 16:39:26,AVAX/USD,long,52.6,0.8734,549.99,True,15728.01,25728.010000000002,25728.010000000002,0.0,0.054999
2025-02-16 16:39:26,AVAX/USD,long,63.2,0.8459,505.68,True,16233.69,26233.690000000002,26233.690000000002,0.0,0.050568
2025-02-17 16:39:26,AVAX/USD,short,48.3,0.7511,407.17,True,16640.86,26640.86,26640.86,0.0,0.040717
2025-02-18 16:39:26,AVAX/USD,short,47.5,0.7232,339.45,True,16980.31,26980.31,26980.31,0.0,0.033944999999999996
2025-02-19 16:39:26,AVAX/USD,short,40.6,0.6215,432.77,True,17413.09,27413.09,27413.09,0.0,0.043276999999999996
