timestamp,pair,position,leverage,confidence,pnl,is_win,cumulative_pnl,equity,peak,drawdown,return
2025-01-07 02:07:26,MATIC/USD,long,54.5,0.8996,271.24,True,271.24,10271.24,10271.24,0.0,0.027124000000000002
2025-01-08 02:07:26,MATIC/USD,long,54.2,0.7166,183.89,True,455.13,10455.13,10455.13,0.0,0.018389
2025-01-09 02:07:26,MATIC/USD,short,51.0,0.8333,305.75,True,760.88,10760.88,10760.88,0.0,0.030575
2025-01-10 02:07:26,MATIC/USD,long,55.5,0.7222,-206.97,False,553.91,10553.91,10760.88,-0.019233557106853656,-0.020697
2025-01-11 02:07:26,MATIC/USD,short,46.2,0.7045,201.57,True,755.48,10755.48,10760.88,-0.0005018176952070497,0.020156999999999998
2025-01-12 02:07:26,MATIC/USD,long,48.8,0.837,185.88,True,941.37,10941.37,10941.37,0.0,0.018588
2025-01-13 02:07:26,MATIC/USD,long,46.5,0.6717,300.05,True,1241.42,11241.42,11241.42,0.0,0.030005
2025-01-14 02:07:26,MATIC/USD,short,44.7,0.6754,-133.82,False,1107.59,11107.59,11241.42,-0.011905079607380556,-0.013382
2025-01-15 02:07:26,MATIC/USD,short,50.3,0.7971,190.07,True,1297.66,11297.66,11297.66,0.0,0.019007
2025-01-16 02:07:26,MATIC/USD,long,57.7,0.7693,277.87,True,1575.53,11575.53,11575.53,0.0,0.027787
2025-01-17 02:07:26,MATIC/USD,long,42.3,0.7465,-145.92,False,1429.61,11429.61,11575.53,-0.012605902278340608,-0.014591999999999999
2025-01-18 02:07:26,MATIC/USD,long,65.6,0.9426,225.25,True,1654.86,11654.86,11654.86,0.0,0.022525
2025-01-19 02:07:26,MATIC/USD,long,61.7,0.863,255.59,True,1910.45,11910.45,11910.45,0.0,0.025559000000000002
2025-01-20 02:07:26,MATIC/USD,long,46.9,0.6816,300.58,True,2211.03,12211.03,12211.03,0.0,0.030057999999999998
2025-01-21 02:07:26,MATIC/USD,short,42.5,0.655,289.94,True,2500.97,12500.97,12500.97,0.0,0.028994
2025-01-22 02:07:26,MATIC/USD,short,44.1,0.7605,238.93,True,2739.91,12739.91,12739.91,0.0,0.023893
2025-01-23 02:07:26,MATIC/USD,long,39.2,0.626,210.68,True,2950.58,12950.58,12950.58,0.0,0.021068
2025-01-24 02:07:26,MATIC/USD,long,42.2,0.6616,191.98,True,3142.57,13142.57,13142.57,0.0,0.019198
2025-01-25 02:07:26,MATIC/USD,long,43.9,0.6794,216.79,True,3359.36,13359.36,13359.36,0.0,0.021679
2025-01-26 02:07:26,MATIC/USD,long,65.3,0.8869,226.21,True,3585.56,13585.56,13585.56,0.0,0.022621000000000002
2025-01-27 02:07:26,MATIC/USD,long,39.8,0.628,259.37,True,3844.94,13844.94,13844.94,0.0,0.025937
2025-01-28 02:07:26,MATIC/USD,long,53.6,0.7823,241.43,True,4086.36,14086.36,14086.36,0.0,0.024143
2025-01-29 02:07:26,MATIC/USD,long,37.7,0.6162,208.58,True,4294.94,14294.939999999999,14294.939999999999,0.0,0.020858
2025-01-30 02:07:26,MATIC/USD,long,40.2,0.6354,331.67,True,4626.62,14626.619999999999,14626.619999999999,0.0,0.033167
2025-01-31 02:07:26,MATIC/USD,long,54.1,0.7275,215.55,True,4842.16,14842.16,14842.16,0.0,0.021555
2025-02-01 02:07:26,MATIC/USD,long,43.1,0.6143,216.3,True,5058.47,15058.470000000001,15058.470000000001,0.0,0.02163
2025-02-02 02:07:26,MATIC/USD,short,52.8,0.7652,255.24,True,5313.7,15313.7,15313.7,0.0,0.025524
2025-02-03 02:07:26,MATIC/USD,short,43.3,0.6129,229.33,True,5543.03,15543.029999999999,15543.029999999999,0.0,0.022933000000000002
2025-02-04 02:07:26,MATIC/USD,long,35.5,0.6055,249.35,True,5792.39,15792.39,15792.39,0.0,0.024935
2025-02-05 02:07:26,MATIC/USD,short,51.3,0.7688,-162.7,False,5629.69,15629.689999999999,15792.39,-0.010302430474424754,-0.01627
2025-02-06 02:07:26,MATIC/USD,long,52.2,0.8087,249.14,True,5878.83,15878.83,15878.83,0.0,0.024914
2025-02-07 02:07:26,MATIC/USD,long,51.6,0.7384,248.08,True,6126.9,16126.9,16126.9,0.0,0.024808
2025-02-08 02:07:26,MATIC/USD,long,41.9,0.742,322.46,True,6449.37,16449.37,16449.37,0.0,0.032246
2025-02-09 02:07:26,MATIC/USD,long,56.6,0.9392,241.03,True,6690.4,16690.4,16690.4,0.0,0.024103
2025-02-10 02:07:26,MATIC/USD,long,35.3,0.6136,290.45,True,6980.85,16980.85,16980.85,0.0,0.029044999999999998
2025-02-11 02:07:26,MATIC/USD,long,53.9,0.7463,173.75,True,7154.6,17154.6,17154.6,0.0,0.017375
2025-02-12 02:07:26,MATIC/USD,short,69.1,0.9345,177.78,True,7332.38,17332.38,17332.38,0.0,0.017778
2025-02-13 02:07:26,MATIC/USD,long,37.0,0.6494,-180.95,False,7151.43,17151.43,17332.38,-0.010439997276773342,-0.018095
2025-02-14 02:07:26,MATIC/USD,long,43.3,0.6553,-127.42,False,7024.01,17024.010000000002,17332.38,-0.017791555458627088,-0.012742
2025-02-15 02:07:26,MATIC/USD,long,59.8,0.9084,176.74,True,7200.75,17200.75,17332.38,-0.007594456156627134,0.017674000000000002
2025-02-16 02:07:26,MATIC/USD,long,46.1,0.7694,241.58,True,7442.33,17442.33,17442.33,0.0,0.024158000000000002
2025-02-17 02:07:26,MATIC/USD,long,45.2,0.7755,168.91,True,7611.24,17611.239999999998,17611.239999999998,0.0,0.016891
2025-02-18 02:07:26,MATIC/USD,short,62.6,0.8451,-163.43,False,7447.81,17447.81,17611.239999999998,-0.00927986899275671,-0.016343
2025-02-19 02:07:26,MATIC/USD,long,47.4,0.8429,-133.65,False,7314.15,17314.15,17611.239999999998,-0.016869340262241416,-0.013365
2025-02-20 02:07:26,MATIC/USD,long,46.9,0.8092,202.62,True,7516.78,17516.78,17611.239999999998,-0.0053636200517396355,0.020262
2025-02-21 02:07:26,MATIC/USD,short,53.9,0.866,248.2,True,7764.97,17764.97,17764.97,0.0,0.02482
2025-02-22 02:07:26,MATIC/USD,short,53.6,0.9391,249.47,True,8014.45,18014.45,18014.45,0.0,0.024947
2025-02-23 02:07:26,MATIC/USD,long,46.9,0.7225,213.51,True,8227.96,18227.96,18227.96,0.0,0.021351
2025-02-24 02:07:26,MATIC/USD,long,47.4,0.6647,292.58,True,8520.54,18520.54,18520.54,0.0,0.029258
2025-02-25 02:07:26,MATIC/USD,short,45.9,0.708,214.14,True,8734.68,18734.68,18734.68,0.0,0.021414
2025-02-26 02:07:26,MATIC/USD,short,54.9,0.7788,337.04,True,9071.72,19071.72,19071.72,0.0,0.033704000000000005
2025-02-27 02:07:26,MATIC/USD,long,58.4,0.8102,161.53,True,9233.25,19233.25,19233.25,0.0,0.016153
2025-02-28 02:07:26,MATIC/USD,long,54.4,0.856,333.35,True,9566.6,19566.6,19566.6,0.0,0.033335000000000004
2025-03-01 02:07:26,MATIC/USD,short,42.3,0.7366,222.11,True,9788.71,19788.71,19788.71,0.0,0.022211
2025-03-02 02:07:26,MATIC/USD,short,54.7,0.8701,232.54,True,10021.25,20021.25,20021.25,0.0,0.023254
2025-03-03 02:07:26,MATIC/USD,long,56.8,0.8109,230.5,True,10251.75,20251.75,20251.75,0.0,0.02305
2025-03-04 02:07:26,MATIC/USD,short,46.1,0.6448,278.28,True,10530.04,20530.04,20530.04,0.0,0.027828
2025-03-05 02:07:26,MATIC/USD,long,50.6,0.8909,241.16,True,10771.2,20771.2,20771.2,0.0,0.024116
2025-03-06 02:07:26,MATIC/USD,long,52.8,0.8789,266.19,True,11037.39,21037.39,21037.39,0.0,0.026619
2025-03-07 02:07:26,MATIC/USD,long,48.9,0.7036,251.41,True,11288.8,21288.8,21288.8,0.0,0.025141
2025-03-08 02:07:26,MATIC/USD,long,63.5,0.8651,177.1,True,11465.9,21465.9,21465.9,0.0,0.01771
2025-03-09 02:07:26,MATIC/USD,short,44.5,0.601,231.33,True,11697.24,21697.239999999998,21697.239999999998,0.0,0.023133
2025-03-10 02:07:26,MATIC/USD,long,48.0,0.6679,298.44,True,11995.67,21995.67,21995.67,0.0,0.029844
2025-03-11 02:07:26,MATIC/USD,short,47.9,0.7349,-190.31,False,11805.37,21805.370000000003,21995.67,-0.008651702812416973,-0.019031
2025-03-12 02:07:26,MATIC/USD,long,41.2,0.6429,-157.36,False,11648.01,21648.010000000002,21995.67,-0.01580583814905371,-0.015736
2025-03-13 02:07:26,MATIC/USD,short,45.5,0.7461,208.27,True,11856.28,21856.28,21995.67,-0.006337156358501443,0.020827000000000002
2025-03-14 02:07:26,MATIC/USD,short,45.0,0.6607,209.68,True,12065.95,22065.95,22065.95,0.0,0.020968
